review_date,rating,reviews
4 July 2021,10.0,"I have never watched a show that is as consistently genuine and engaging as Breaking Bad. This is undoubtedly one of the greatest shows ever, and it consistently improves as it progresses."
30 July 2021,10.0,"One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan."
7 March 2019,10.0,Re-Watched it 7 times and counting. I guess I liked it.
19 February 2020,10.0,I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen.
9 November 2021,10.0,"Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!"
9 December 2022,10.0,Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!
18 July 2021,10.0,Direction- PERFECT!!
31 May 2019,10.0,When you finish the show you'll never be the same..I guarantee you
9 December 2022,10.0,"I have never watched any series which depicts emotions so exactly through camera angles, dialogues, screen play, perfect story line other than ""Breaking Bad"". We all are lucky enough to be born to watch series like this. Teaches us loyalty, family love, pain and many more things."
16 November 2019,10.0,I wanna delete my brain and watch it again like I never knew it.
6 August 2022,,"I usually don't comment on here but this show is the best I've seen in my life. And I've seen a lot of shows. The setting, character development and the actors... everything is pitch perfect. I'm on my fourth run through this show and I still love it. There's no other show out there I can watch this many times and still be excited. The dynamic between Walter and Jesse is awesome. I will watch this show once a year and I never get bored. Forget about the hyped shows you'll only watch once. This is the one and only you should watch right now If you haven't already. The only show that got me this excited in the last decade was Dark."
15 February 2021,7.0,"If i say that it was good , but not excellent , every fan will try to kill me , but it's my opinion"
23 March 2021,3.0,The story is interesting and well developed but the pace is too slow. There are too many unnecessary scenes and filler episodes.
13 November 2017,10.0,"'Breaking Bad' is one of the most popular rated shows on IMDb, is one of those rarities where every season has either been very positively received or near-universally acclaimed critically and where all of my friends have said nothing but great things about."
9 November 2021,10.0,"Breaking Bad feels like fever dream. A really REALLY good fever dream. The directing is absolutely perfect. The characters bounce off each other in this really well done way. I can really feel the true emotion and pure character coming from each one. I can feel the greed, lust, money hunger animals each of these characters are. There are no true heroes in this story (except hank I love u)."
12 August 2021,10.0,Nothing compares. Nothing comes close.
12 January 2014,10.0,"If you are among the few who haven't seen it yet: believe the hype, it really is THAT good. Breaking Bad may not depict reality the way 'Generation Kill' or 'The Wire' did - but then it's not about that, either. From an artistic point of view - performances, writing, direction, camera, music - this show is every bit as good as the other two mentioned above, but unlike those, 'Breaking Bad' just wants to entertain and therefore enjoys a lot more creative freedom."
3 March 2023,10.0,"This serie is unique. This is somehow realistic and amazing also. Even if you're going to watch for find the flaws, I bet you can't find real major flaws in this serie. You know some people are just tries to find nonsense things in contents. (I mean in a movie or TV show) They are hard to pleased but even those people can enjoy this serie, because they really can't find one easily."
20 May 2019,10.0,I was waiting to see how GOT ended. It should be the greatest but they failed miserably in the finale season especially the last 3 (mainly the finale) episode.
24 June 2021,10.0,I liked this series so much that im repeating this show again.
5 May 2021,10.0,"I'd put off watching BREAKING BAD for years and years, not being particularly interested in a contemporary story about a couple of drug dealers, but I needn't have worried. This is a series that lives up to all the accolades, just as involving and gripping as I'd hoped. About half a dozen actors give career best performances as characters that evolve slowly and realistically over five seasons, and the depth is incredible, along with the refusal to paint a single person in black and white. Humour, suspense, action and the depths of the human existence being frequently explored; there's really nothing better."
