episode_id,title,season,air_date,characters,episode,series
1,Pilot,1,01-20-2008,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Krazy-8, Bogdan Wolynetz",1,Breaking Bad
2,Cat's in the Bag...,1,01-27-2008,"Walter White, Jesse Pinkman, Skyler White, Walter White Jr., Krazy-8",2,Breaking Bad
3,...And the Bag's in the River,1,02-10-2008,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Krazy-8, Gretchen Schwartz",3,Breaking Bad
4,Cancer Man,1,02-17-2008,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Ken Wins",4,Breaking Bad
5,Gray Matter,1,02-24-2008,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Elliott Schwarts, Gretchen Swartz, Badger",5,Breaking Bad
6,Crazy Handful of Nothin,1,03-02-2008,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Tuco Salamanca",6,Breaking Bad
7,A No-Rough-Stuff-Type Deal, 1,03-09-2008,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Tuco Salamanca",7,Breaking Bad
8,Seven-Thirty-Seven,2,03-08-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Tuco Salamanca",1,Breaking Bad
9,Grilled,2,03-15-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Tuco Salamanca, Hector Salamanca",2,Breaking Bad
10,Bit by a Dead Bee,2,03-22-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Hector Salamanca",3,Breaking Bad
11,Down,2,03-29-2009,"Walter White, Jesse Pinkman, Skyler White, Walter White Jr.",4,Breaking Bad
12,Breakage,2,04-05-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Jane Margolis, Badger",5,Breaking Bad
13,Peekaboo,2,04-12-2009,"Walter White, Jesse Pinkman, Skyler White, Marie Schrader, Walter White Jr., Gretchen Schwartz",6,Breaking Bad
14,Negro y Azul,2,04-19-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Tortuga, Jane Margolis, Ted Beneke",7,Breaking Bad
15,Better Call Saul,2,04-26-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Saul Goodman, Jane Margolis, Badger",8,Breaking Bad
16,4 Days Out,2,05-03-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Saul Goodman, Jane Margolis",9,Breaking Bad
17,Over,2,05-10-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Jane Margolis, Ted Beneke",10,Breaking Bad
18,Mandala,2,05-17-2009,"Walter White, Jesse Pinkman, Skyler White, Saul Goodman, Gustavo Fring, Jane Margolis, Ted Beneke, Donald Margolis, Combo",11,Breaking Bad
19,Phoenix,2,05-24-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Saul Goodman, Jane Margolis, Ted Beneke, Donald Margolis",12,Breaking Bad
20,ABQ,2,05-31-2009,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Mike Ehrmantraut, Gustavo Fring, Jane Margolis, Donald Margolis",13,Breaking Bad
21,No Más,3,03-21-2010,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Gustavo Fring, The cousins",1,Breaking Bad
22,Caballo sin Nombre,3,03-28-2010,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Marie Schrader, Walter White Jr., Gustavo Fring, Saul Goodman, Mike Ehrmantraut, Hector Salamanca",2,Breaking Bad
23,IFT,3,04-04-2010,"Walter White, Jesse Pinkman, Skyler White, Hank Schrader, Walter White Jr., Gustavo Fring, Saul Goodman, Hector Salamanca, Ted Beneke",3,Breaking Bad
