,Oct 2025,Change,Programming language,Share,Trends
0,1,,Python,28.97 %,-0.5 %
1,2,,Java,13.94 %,-1.5 %
2,3,↑,C/C++,10.54 %,+3.6 %
3,4,↑↑↑↑↑↑↑,Objective-C,7.05 %,+4.5 %
4,5,↓↓,JavaScript,6.33 %,-1.7 %
5,6,,R,5.27 %,+0.6 %
6,7,↓↓,C#,3.96 %,-2.5 %
7,8,↓,PHP,3.19 %,-0.8 %
8,9,,Swift,2.93 %,+0.3 %
9,10,,Rust,2.59 %,-0.0 %
10,11,↑↑↑↑,Ada,2.25 %,+1.1 %
11,12,↓↓↓↓,TypeScript,2.11 %,-0.8 %
12,13,↑,Matlab,1.42 %,-0.1 %
13,14,↓↓,Go,1.24 %,-0.9 %
14,15,↓↓,Kotlin,1.19 %,-0.8 %
15,16,,Powershell,1.05 %,+0.0 %
16,17,↑↑,Ruby,0.96 %,-0.0 %
17,18,,VBA,0.92 %,-0.1 %
18,19,↑,Lua,0.92 %,+0.1 %
19,20,↓↓↓,Dart,0.88 %,-0.1 %
20,21,↑,Abap,0.5 %,-0.1 %
21,22,↑↑,Julia,0.46 %,+0.1 %
22,23,↓↓,Scala,0.38 %,-0.2 %
23,24,↓,Visual Basic,0.26 %,-0.2 %
24,25,↑,Zig,0.19 %,+0.0 %
25,26,↑↑↑↑,Delphi/Pascal,0.14 %,+0.1 %
26,27,,Cobol,0.12 %,-0.0 %
27,28,↓↓↓,Groovy,0.11 %,-0.1 %
28,29,↓,Perl,0.09 %,-0.0 %
29,30,↓,Haskell,0.06 %,-0.0 %
